OBJECTID,Parzelle,Sw_X_Etrs89,Sw_Y_Etrs89,Soe_X_Etrs89,Soe_Y_Etrs89,Nw_X_Etrs89,Nw_Y_Etrs89,Noe_X_Etrs89,Noe_Y_Etrs89,Sw_Lat_Wgs84,Sw_Lon_Wgs84,Soe_Lat_Wgs84,Soe_Lon_Wgs84,Nw_Lat_Wgs84,Nw_Lon_Wgs84,Noe_Lat_Wgs84,Noe_Lon_Wgs84,Grobsand__0_bis_25__1980,Grobsand__25_bis_50__1980,Mittelsand__0_bis_25__1980,Mittelsand__25_bis_50__1980,Feinsand__0_bis_25__1980,Feinsand__25_bis_50__1980,Grobschluff__0_bis_25__1980,Grobschluff__25_bis_50__1980,Mittelschluff__0_bis_25__1980,Mittelschluff__25_bis_50_1980,Feinschluff__0_bis_25__1980,Feinschluff__25_bis_50__1980,Ton__0_bis_25__1980,Ton__25_bis_50__1980,SHAPE.STArea(),SHAPE.STLength()
129,12129,3440434.036,5818921.532,3440437.432,5818916.586,3440438.158,5818924.362,3440441.554,5818919.416,52.51715,14.12217,52.5171,14.12222,52.51717,14.12223,52.51713,14.12228,6,3,21.2,22.7,44.1,45.9,13.6,13.3,7.5,5.8,2.7,4.7,4.9,4.6,3.974212769e-9,0.000265844463237466
130,12130,3440437.432,5818916.586,3440440.828,5818911.64,3440441.554,5818919.416,3440444.95,5818914.47,52.5171,14.12222,52.51706,14.12227,52.51713,14.12228,52.51709,14.12233,6.2,2.5,20.7,20.4,45.8,47.6,13.3,13.7,5.2,5.8,3.7,4.5,5.1,5.5,3.974203669e-9,0.000265844300557903
131,12131,3440440.828,5818911.64,3440444.224,5818906.693,3440444.95,5818914.47,3440448.346,5818909.523,52.51706,14.12227,52.51702,14.12232,52.51709,14.12233,52.51704,14.12238,6.5,4,22.1,22.9,45,43.7,12.4,13.6,6.6,5,2.5,5.9,4.9,4.9,3.974748764e-9,0.000265861688447118
132,12132,3440444.224,5818906.693,3440447.62,5818901.747,3440448.346,5818909.523,3440451.742,5818904.577,52.51702,14.12232,52.51697,14.12237,52.51704,14.12238,52.517,14.12243,6,3.8,22.8,24.5,44.6,47.6,12,12,8.4,4.6,0.8,3.3,5.4,4.2,3.974177777999999e-9,0.000265842788488825
133,12133,3440447.62,5818901.747,3440451.016,5818896.801,3440451.742,5818904.577,3440455.138,5818899.631,52.51697,14.12237,52.51693,14.12243,52.517,14.12243,52.51695,14.12249,7.2,6.2,23.3,26.4,44.2,48,12.8,10.1,5.6,4.1,2.6,1.7,4.3,3.5,3.9741427869999995e-9,0.000265841113748924
134,12134,3440431.365,5818934.255,3440434.761,5818929.309,3440435.487,5818937.085,3440438.883,5818932.139,52.51726,14.12213,52.51722,14.12218,52.51729,14.12219,52.51724,14.12224,5.4,4,24.1,24.2,42.3,42.3,15,16.3,5.5,6.1,2.8,2.8,4.9,4.3,3.9742545979999995e-9,0.000265845090422878

