sample_ID;sample_name;ID_field;ID_profile;ID_depth;ID_location;depth;landuse;volum_cylinder_cm3;wet_mass_soil_g;dry_mass_soil_g;bulk_density;water_content;collection_date;latitude;longitude;elevation;location;country
s001;F1-P1-A-ATP;F1;P1;A;ATP;0-5;cassava;100;149;;1.41;5;2024-01;14.736163;106.63576;93;Attapeu;LA
s002;F5-P3-A-ATP;F5;P3;A;ATP;0-5;paddy_rice;100;157;;1.31;21;2024-01;14.711535;106.63576;93;Attapeu;LA
s003;F1-P2-A-ATP;F1;P2;A;ATP;0-5;cassava;100;133;;1.3;1;2024-01;14.736163;106.63576;93;Attapeu;LA
s004;F5-P3-B-ATP;F5;P3;B;ATP;15-20;paddy_rice;100;152;;1.35;21;2024-01;14.711535;106.63576;93;Attapeu;LA
s005;F1-P3-A-ATP;F1;P3;A;ATP;0-5;cassava;100;157;;1.48;5;2024-01;14.736163;106.63576;93;Attapeu;LA
s006;F6-P1-A-ATP;F6;P1;A;ATP;0-5;non_cultivated;100;151;;1.42;7;2024-01;14.71234;106.63576;93;Attapeu;LA
s007;F2-P1-A-ATP;F2;P1;A;ATP;0-5;non_cultivated;100;166;;1.64;0;2024-01;14.730497;106.63576;93;Attapeu;LA
s008;F6-P1-B-ATP;F6;P1;B;ATP;15-20;non_cultivated;100;156;;1.28;12;2024-01;14.71234;106.63576;93;Attapeu;LA
s009;F6-P2-A-ATP;F6;P2;A;ATP;0-5;non_cultivated;100;156;;1.45;8;2024-01;14.71234;106.63576;93;Attapeu;LA
