PRID,HONU,HBUP,HBDE,DIAH,DIAP,HODE,SCMO,SCDR,STTY,MINA,SDTO,STPC,CLPC,PSCL,PHAQ,PHKC,ELCO,EXCA,EXMG,EXNA,EXCK,EXAL,EXAC,CECS,TOTC,TOTN,TCEQ,GYPS,BULK,WR17,WR20,WR25,WR37,WR42,LATI,LNGI,LABO,ELEV
BYBr100C,1,0,25,UM,HU,Ah,2.5/5B,3/5B,G,N,70,30,0,SL,7.6,,,,,,,0,0,47.5,45,5.5,,,0.98,,,,,,51.98,27.57,BY01,150
BYBr100C,2,25,67,,GL,Bg,10YR4/2,10YR5/2,M,N,80,20,0,SL,7.9,,,,,,,0,0,45.5,10,0.9,,,1.47,,,,,,51.98,27.57,BY01,150
BYBr100C,3,67,172,,GL,Cg,5/5BG,5/10BG,M,N,65,35,0,SL,7.9,,,,,,,0,0,10,9,0.7,,,1.58,,,,,,51.98,27.57,BY01,150
BYBr1095,1,0,25,MO,HU,Ah,10YR4/1,10YR5/1,G,N,79,21,0,LS,5.4,,,,,,,,,35.1,37,3.1,0,0,1.17,,,,,,51.88,27.02,BY03,150
BYBr1095,2,25,60,,GL,Bg,10B5/1,10B6/1,M,V,95,5,0,S,5.7,,,,,,,,,5.5,1,0.1,,0,1.61,,,,,,51.88,27.02,BY03,150
BYBr1095,3,60,200,,GL,Cg,10B6/1,10B7/1,M,N,79,21,0,LS,5.8,,,,,,,,,6.9,,,,0,1.58,,,,,,51.88,27.02,BY03,150
BYBr115,1,0,15,,,Ah,5Y4/1,5Y5/1,M,V,93,4,3,S,4.5,,0,,,,,,,29.3,22,7.9,0,0,1.25,,,,,,52.28,27.25,BY01,165
BYBr115,2,15,23,,,E,5Y6/2,5Y7/2,M,V,90,4,6,S,4.2,,0,,,,,,,2.8,5,0.5,0,0,1.31,,,,,,52.28,27.25,BY01,165
