Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
NA_VIVANCO;0;15;;VIVANCO;7.5;;175;0.7424;1.28;;5.47;;;;;1358;62.5;1.48;64;2.57;0;0.25;40;16.8;3.01;153;32.4;21.2;8.77;25;44;31;;Loam;24.9;0.57;43.24324324;-4.969306;37.200624
NA_LAS_34;0;15;;LAS 34;8;;171;0.986;1.7;;6.22;;;;;1586;39.2;1.39;76;2.69;0;0.3;31.5;18.7;2.68;133;35;21.4;9.88;24;56;20;;Silt loam;28.2;0.52;54.67625899;-4.986755;37.307366
NA_FUENTE_DEL_MORAL;0;15;;FUENTE DEL MORAL;7.8;;206;0.783;1.35;;6.01;;;;;1305;49.5;1.4;72.3;2.85;0;0.33;38.1;7.99;3.37;132;35.5;30.6;10.2;39;27;34;;Clay loam;25.4;0.49;;-4.974475;37.217321
NA_EL_HACHO;0;15;;El Hacho;;;;1.9;;1.045278598;;;;;;;;;;;;;;;;;;;;;;;17.3;;;;;-4.827632;37.28986
NA_EL_HACHO;0;15;;El Hacho;;;;3.05;;1.121472955;;;;;;;;;;;;;0;;;;;;;;;;11.1;;;;;-4.827719;37.289656
NA_EL_HACHO;0;15;;El Hacho;;;;3.29;;1.332280737;;;;;;0;;;;;;;;;;;;;;;;;10.4;;;;;-4.828032;37.28957
NA_EL_HACHO;0;15;;El Hacho;;;;3.39;;1.344046043;;;;;;;;;;;;;;;;;;;;;;;15;;;;;-4.828381;37.289444
NA_EL_HACHO;0;15;;El Hacho;;;;2.66;;1.237088724;;;;;;;;;;;;;;;;;;;;;;;13.1;;;;;-4.828324;37.289201
NA_EL_HACHO;0;15;;El Hacho;;;;1.3;;1.349139248;;;;;;;;;;;;;;;;;;;;;;;13.1;;;;;-4.827625;37.289879
NA_EL_HACHO;0;15;;El Hacho;;;;1.43;;1.398441479;;;;;;;;;;;;;;;;;;;;;;;17.1;;;;;-4.827712;37.289675
